name,color,user_id
familia,#B8255F,e10f8960-884e-493e-a4fc-381f629bf3b7
relaciones,#DB4035,e10f8960-884e-493e-a4fc-381f629bf3b7
comunidad,#FF8D85,e10f8960-884e-493e-a4fc-381f629bf3b7
creación,#FF9933,e10f8960-884e-493e-a4fc-381f629bf3b7
producción,#FAD000,e10f8960-884e-493e-a4fc-381f629bf3b7
salud,#AFB83B,e10f8960-884e-493e-a4fc-381f629bf3b7
ejercicio,#7ECC49,e10f8960-884e-493e-a4fc-381f629bf3b7
alimento,#299438,e10f8960-884e-493e-a4fc-381f629bf3b7
cuidado,#6ACCBC,e10f8960-884e-493e-a4fc-381f629bf3b7
curiosidad,#158FAD,e10f8960-884e-493e-a4fc-381f629bf3b7
aventura,#14AAF5,e10f8960-884e-493e-a4fc-381f629bf3b7
expresión,#96C3EB,e10f8960-884e-493e-a4fc-381f629bf3b7
personal,#4073FF,e10f8960-884e-493e-a4fc-381f629bf3b7
espiritual,#884DFF,e10f8960-884e-493e-a4fc-381f629bf3b7
hogar,#AF38EB,e10f8960-884e-493e-a4fc-381f629bf3b7
tareas,#B8B8B8,e10f8960-884e-493e-a4fc-381f629bf3b7
seguridad,#CCAC93,e10f8960-884e-493e-a4fc-381f629bf3b7


